id,participant_id,timestamp_utc,phase,post_id,category,has_face,has_text,colorfulness,visual_complexity,was_seen,liked,response,correct,confidence,dwell_time_sec,feed_position
166,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:52.785563,feed,sunset_noperson,travel,0,0,unknown,medium,1,0,,,,2.564,10
167,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:31:56.082655,distractor,,,,,,,,,Coffee,,,,
168,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:31:59.783038,memory,forest_dark,travel,0,0,dark,low,0,,0,1,3,7.397,
169,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:00.862643,memory,sunset_person,travel,1,0,unknown,medium,1,,1,1,3,4.649,
170,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:03.140925,memory,sunset_person,travel,1,0,unknown,medium,1,,1,1,3,3.192,
171,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:04.603720,memory,forest_bright,travel,0,0,bright,low,0,,0,1,3,3.591,
172,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:08.034468,memory,trees_bright,travel,0,0,bright,medium,0,,0,1,4,4.745,
173,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:09.649514,memory,eiffel_bright,travel,0,0,bright,medium,1,,1,1,5,4.852,
174,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:12.957957,memory,trees_dark,travel,0,0,dark,medium,1,,1,1,5,4.752,
175,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:13.986092,memory,beach,travel,0,0,unknown,medium,1,,1,1,5,4.189,
176,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:18.096615,memory,lighthouse_darker,travel,0,0,dark,low,0,,0,1,4,4.965,
177,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:19.171794,memory,eiffel_dark,travel,0,0,dark,medium,1,,1,1,5,5.025,
178,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:23.416623,memory,beach,travel,0,0,unknown,medium,0,,0,1,5,5.179,
179,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:24.559105,memory,lighthouse_darker,travel,0,0,dark,low,1,,1,1,5,5.232,
180,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:28.518976,memory,lighthouse_bright,travel,0,0,bright,low,1,,1,1,5,4.949,
181,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:31.874623,memory,ocean_bright,travel,0,0,bright,low,1,,1,1,5,7.19,
182,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:32.638753,memory,ocean_bright,travel,0,0,bright,low,1,,1,1,4,3.965,
183,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:37.578323,memory,trees_bright,travel,0,0,bright,medium,0,,0,1,5,5.486,
184,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:37.679671,memory,eiffel_dark,travel,0,0,dark,medium,1,,1,1,5,4.886,
185,55d7abd1-168f-4de9-9a72-38d0c8a7f928,2026-05-01T23:32:42.878639,memory,forest_bright,travel,0,0,bright,low,1,,1,1,5,5.01,
186,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:43.554113,memory,forest_dark,travel,0,0,dark,low,0,,0,1,5,5.788,
187,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:47.431375,memory,lighthouse_bright,travel,0,0,bright,low,1,,1,1,5,3.728,
188,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:53.399855,memory,ocean_dark,travel,0,0,dark,low,0,,0,1,5,5.826,
189,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:32:58.858724,memory,lighthouse_brighter,travel,0,0,bright,low,1,,1,1,5,5.323,
190,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:33:04.609071,memory,sunset_noperson,travel,0,0,unknown,medium,1,,1,1,5,5.621,
191,c96d020a-f112-4d02-b866-4f8996c93789,2026-05-01T23:33:10.503732,memory,trees_dark,travel,0,0,dark,medium,1,,1,1,5,5.731,
192,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:33:46.620751,feed,lighthouse_darker,travel,0,0,dark,low,1,1,,,,12.852,1
193,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:33:51.127665,feed,sunset_person,travel,1,0,unknown,medium,1,1,,,,4.22,2
194,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:00.092487,feed,ocean_dark,travel,0,0,dark,low,1,0,,,,8.832,3
195,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:05.302223,feed,forest_bright,travel,0,0,bright,low,1,1,,,,5.059,4
196,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:09.973297,feed,beach,travel,0,0,unknown,medium,1,1,,,,4.534,5
197,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:14.548950,feed,eiffel_dark,travel,0,0,dark,medium,1,1,,,,4.388,6
198,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:17.987722,feed,ocean_bright,travel,0,0,bright,low,1,0,,,,3.278,7
199,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:21.034660,feed,eiffel_bright,travel,0,0,bright,medium,1,0,,,,2.905,8
200,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:26.409937,feed,forest_dark,travel,0,0,dark,low,1,1,,,,5.24,9
201,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:29.636008,feed,trees_bright,travel,0,0,bright,medium,1,0,,,,3.085,10
202,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:34.523745,distractor,,,,,,,,,Neither,,,,
203,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:40.323781,memory,ocean_bright,travel,0,0,bright,low,1,,1,1,3,5.639,
204,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:46.553325,memory,lighthouse_bright,travel,0,0,bright,low,0,,0,1,3,6.066,
205,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:53.974498,memory,lighthouse_brighter,travel,0,0,bright,low,0,,1,0,1,7.268,
206,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:34:59.668164,memory,beach,travel,0,0,unknown,medium,1,,1,1,3,5.556,
207,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:03.243124,memory,trees_dark,travel,0,0,dark,medium,0,,1,0,1,3.433,
208,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:07.875236,memory,trees_bright,travel,0,0,bright,medium,1,,1,1,3,4.507,
209,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:08.551359,memory,sunset_person,travel,1,0,unknown,medium,1,,0,0,3,0.546,
210,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:14.866803,memory,ocean_dark,travel,0,0,dark,low,1,,1,1,3,6.139,
211,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:18.617735,memory,lighthouse_darker,travel,0,0,dark,low,1,,1,1,3,3.618,
212,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:24.761861,memory,forest_bright,travel,0,0,bright,low,1,,1,1,3,6.007,
213,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:29.873299,memory,eiffel_bright,travel,0,0,bright,medium,1,,1,1,3,4.977,
214,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:38.304954,memory,forest_dark,travel,0,0,dark,low,1,,1,1,3,8.294,
215,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:44.168165,memory,eiffel_dark,travel,0,0,dark,medium,1,,1,1,3,5.726,
216,6ae10ef6-c0db-415f-a5ce-22e595c93bf6,2026-05-01T23:35:48.790228,memory,sunset_noperson,travel,0,0,unknown,medium,0,,1,0,3,4.439,
217,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:16.565380,feed,forest_dark,travel,0,0,dark,low,1,1,,,,13.652,1
218,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:24.230001,feed,ocean_dark,travel,0,0,dark,low,1,1,,,,7.417,2
219,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:30.705705,feed,trees_bright,travel,0,0,bright,medium,1,1,,,,6.299,3
220,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:33.445283,feed,ocean_bright,travel,0,0,bright,low,1,0,,,,2.589,4
221,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:35.856124,feed,beach,travel,0,0,unknown,medium,1,1,,,,2.248,5
222,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:39.537362,feed,trees_dark,travel,0,0,dark,medium,1,1,,,,3.543,6
223,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:44.402436,feed,sunset_person,travel,1,0,unknown,medium,1,0,,,,4.744,7
224,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:47.483582,feed,lighthouse_brighter,travel,0,0,bright,low,1,0,,,,2.941,8
225,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:50.387179,feed,sunset_noperson,travel,0,0,unknown,medium,1,0,,,,2.738,9
226,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:36:53.400628,feed,eiffel_bright,travel,0,0,bright,medium,1,1,,,,2.854,10
227,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:01.743394,distractor,,,,,,,,,Tea,,,,
228,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:10.290991,memory,lighthouse_brighter,travel,0,0,bright,low,1,,1,1,5,8.343,
229,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:15.335012,memory,eiffel_bright,travel,0,0,bright,medium,1,,1,1,5,4.914,
230,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:15.377237,feed,forest_dark,travel,0,0,dark,low,1,1,,,,15.947,1
231,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:19.435823,memory,lighthouse_bright,travel,0,0,bright,low,0,,0,1,3,3.953,
232,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:21.440683,feed,lighthouse_bright,travel,0,0,bright,low,1,0,,,,5.872,2
233,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:24.826116,memory,ocean_dark,travel,0,0,dark,low,1,,1,1,5,5.261,
234,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:27.274744,feed,forest_bright,travel,0,0,bright,low,1,1,,,,5.709,3
235,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:28.822986,memory,trees_bright,travel,0,0,bright,medium,1,,1,1,5,3.872,
236,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:32.099521,feed,trees_dark,travel,0,0,dark,medium,1,1,,,,4.695,4
237,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:33.975344,memory,eiffel_dark,travel,0,0,dark,medium,0,,0,1,5,5.015,
238,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:37.329174,memory,ocean_bright,travel,0,0,bright,low,1,,1,1,5,3.209,
239,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:41.060516,memory,trees_dark,travel,0,0,dark,medium,1,,1,1,5,3.558,
240,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:41.963581,feed,trees_bright,travel,0,0,bright,medium,1,1,,,,9.728,5
241,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:45.530422,feed,sunset_person,travel,1,0,unknown,medium,1,0,,,,3.432,6
242,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:48.185298,memory,sunset_noperson,travel,0,0,unknown,medium,1,,0,0,3,6.961,
243,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:37:51.326610,feed,beach,travel,0,0,unknown,medium,1,1,,,,5.669,7
244,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:52.809965,memory,forest_bright,travel,0,0,bright,low,0,,0,1,5,4.451,
245,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:37:56.830260,memory,beach,travel,0,0,unknown,medium,1,,0,0,5,3.882,
246,fc23cd30-bb9c-4bd8-9ba1-c219d64743aa,2026-05-01T23:38:00.403901,memory,sunset_person,travel,1,0,unknown,medium,1,,1,1,5,3.435,
